,Updated: 17 Oct 2023,,,,,,,,,,,,,,,,,,,Chuy?n máy t? ... v? ... dd.mm.yyyy,,,,,,,,,,,,,,,,,,,,,,,Non FA,,,,
,,,,,,,,,,,,,,,,,,,,Chuy?n máy CUT t? HYN v? HYS 12.12.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRANSFER-Internal: chuy?n máy qua l?i gi?a HYS và HYN,,,,,,,,,,,,,,,,,,,Chuy?n máy t? HYN ?i H?ng Long thuê 11.12.2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRANSFER-External: chuy?n ra kh?i HYS và HYN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non FA,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,,,,ACT 2023,,,,,,,,,,Luan note,,,,
,Actual location,Stt,DIVISION,ASSET,LAWPROD_AMASSET_DESCRIPTION,ITEM_TOT_QTY,Q'ty 2,Tag th?c t?,Tag,TAG_NBR,SERIAL_NUMBER,MODEL_NUMBER,MODEL,Plant th?c t?,NOTE_BIN,Bin th?c t?,Tên máy,Khu v?c,Tr?ng thái,Ghi chú,From,To,To 2,To 3,Th?i h?n Transfer,ASSET_TYPE,INSRV_DATE, BOOK_BASIS , Net_Book_Value ,Department,Lo?i máy,Note,CS-line,Nhà s?n xu?t,S? tag,Serial,Model,Bin,Location,"Tên 
Ng??i ki?m","Tên
Ng??i nh?p",Note,Note match,,,,
#N/A,HYS,10,3844-7244321,290779,SEWING MACHINE,1,1,219156,219156,219156,HA 29308,CF2339M-164S5-31-1,CF2339M,HYS,In production,X??ng B,Interlock,Sewing machine,,,,,,,,MACHEQUIP,3/1/2008," $1,740 ", $-   ,Mechanic,Máy may,,MEC-98 20,Yamato,219156,HA 29308,CF2339M-164S5-31-1,HAA-06,,Nam,H??ng,,Match,,,,
#N/A,HYN,11,3844-7314321,290629,SEWING MACHINE,1,1,219389,219389,219389,HA 32115,CF2303M-140M-21,CF2303M,HYN,Inactive,?ã thanh lý,Interlock,Sewing machine,Disposal 17-Oct,,,,,,,MACHEQUIP,3/1/2008, $891 , $-   ,Mechanic,Máy may,,HYN-13 5,Yamato,219389,HA32115,CF2303,E7.2,HYN,Thuy?n,Luân,OK,Match,,,,
#N/A,HYS,12,3844-7244321,290689,SEWING MACHINE,1,1,219042,219042,219042,TN 81646,CZ6003-03DF/B3,CZ6003,HYS,WH,KHO TT,Overlock,Sewing machine,,,,,,,,MACHEQUIP,3/1/2008," $2,549 ", $-   ,Mechanic,Máy may,,MEC-189 8,Yamato,219042,M?t,CZ6003-03DF/B3,F1-31,,??t,H??ng,M?t seri,Match,,,,
#N/A,HYS,13,3844-7254321,290691,SEWING MACHINE,1,1,219044,219044,219044,TN 81578,CZ6003-03DF/B3,CZ6003,HYS,In production,X??ng A,Overlock,Sewing machine,,,,,,,,MACHEQUIP,3/1/2008," $2,549 ", $-   ,Mechanic,Máy may,,MEC-80 10,Yamato,219044,TN 81578,CZ6003-03DF/B3,H2,,Tú,Ng?c Anh,,Match,,,,
#N/A,HYN,14,3844-7314321,290707,SEWING MACHINE,1,1,M?t,219060,219060,TN 81583,CZ6003-03DF/B3,CZ6003,HYS,WH,KHO TT,Overlock,Sewing machine,TRANSFER-Internal,Chuy?n máy t? HYN v? HYS 22.11.2023,HYN,HYS,,,,MACHEQUIP,3/1/2008," $2,549 ", $-   ,Mechanic,Máy may,,HYN-4 10,Yamato,M?t,TN 81583,CZ6003,B3.1,HYN,Thuy?n,Luân,OK,Match,,,,
#N/A,HYS,15,3844-7254321,290665,SEWING MACHINE,1,1,219018,219018,219018,TN 80721,CZ6003-03DF/B3,CZ6003,HYS,In production,X??ng B,Overlock,Sewing machine,,,,,,,,MACHEQUIP,3/1/2008," $2,549 ", $-   ,Mechanic,Máy may,,MEC-112 15,Yamato,219018,M?,CZ6003-03DF/B3,LINE CHUYEN DOI US PANTY,,Nam,H??ng,M? seri,Match,,,,
#N/A,HYS,16,3844-7254321,339028,KINGTEX CTD9085,1,1,244310,244310,244310,,CTD9085/RP/UTG/CV/TR/CS,CTD9085,HYS,In production,X??ng A,Interlock,Sewing machine,,,,,,,,MACHEQUIP,1/2/2011," $2,755 ", $-   ,Mechanic,Máy may,,MEC-57 17,Kingtex,244310,2103656,CTD9085/RP/UTG/CV/TR/CS,D4,,Tú,Ng?c Anh,,Match,,,,
#N/A,HYS,17,3844-7254321,316635,SEWING MACHINE,1,1,244067,244067,244067,GA36737,VG2700-164M/UT,VG2700,HYS,WH,KHO TT,Interlock,Sewing machine,,,,,,,,MACHEQUIP,7/6/2009," $3,743 ", $-   ,Mechanic,Máy may,,MEC-157 6,Yamato,244067,GA36737,VG2700-164M/UT,H2-2,,??t,V?ng,,Match,,,,
#N/A,HYS,18,3844-7244321,308878,SEWING MACHINE,1,1,244061,244061,244061,HA35013,CF2339M-164S5-31-1/AFL-6/TC/TF,CF2339M,HYS,In production,KHU V?C TEST MÁY - CUT,Interlock,Sewing machine,,,,,,,,MACHEQUIP,4/5/2009," $1,740 ", $-   ,Mechanic,Máy may,,MEC-165 1,Yamato,244061,HA35013,CF2339M-164S5-31-1/AFL-6/TC/TF,CAT02,,??t,V?ng,,Match,,,,
#N/A,HYS,19,3844-7254321,308870,SEWING MACHINE,1,1,244053,244053,244053,HA35016,CF2339M-164S5-31-1/AFL-6/TC/TF,CF2339M,HYS,In production,X??ng A,Interlock,Sewing machine,,,,,,,,MACHEQUIP,4/5/2009," $1,740 ", $-   ,Mechanic,Máy may,,MEC-83 12,Yamato,244053,HA35016,CF2339M-164S5-31-1/AFL-6/TC/TF,H5,,Tú,Ng?c Anh,,Match,,,,
#N/A,HYS,20,3844-7244321,308874,SEWING MACHINE,1,1,244057,244057,244057,HA35030,CF2339M-164S5-31-1/AFL-6/TC/TF,CF2339M,HYS,In production,X??ng B,Interlock,Sewing machine,,,,,,,,MACHEQUIP,4/5/2009," $1,740 ", $-   ,Mechanic,Máy may,,MEC-97 9,Yamato,244057,HA35030,CF2339M-164S5-31-1/AFL-6/TC/TF,HAA-04,,Nam,H??ng,,Match,,,,
#N/A,HYS,21,3844-7254321,308831,SEWING MACHINE,1,1,244014,244014,244014,GA32116,VG2700-164M/UT-A34/ST2-A/CS/IS,VG2700,HYS,In production,PHÒNG NÉN KHÍ,Interlock,Sewing machine,,,,,,,,MACHEQUIP,4/5/2009," $3,743 ", $-   ,Mechanic,Máy may,,MEC-171 14,Yamato,244014,GA32116,VG2700-164M/UT-A34/ST2-A/CS/IS,phong nen khi,,??t,V?ng,,Match,,,,
#N/A,HYS,22,3844-7244321,303652,SEWING MACHINE,1,1,243970,243970,243970,,CF2339M-156S5,CF2339M,HYS,In production,WSA,Interlock,Sewing machine,,,,,,,,MACHEQUIP,12/1/2008," $1,740 ", $-   ,Mechanic,Máy may,,MEC-19 15,Yamato,243970,0,CF2339M-156S5,WS BR,,Huy,Ngà,M? seri,Match,,,,
#N/A,HYS,23,3844-7254321,302322,Kingtex bar tacking   7080011,1,1,246181,246181,246181,7080011,GLK 1900,GLK-1900,HYS,WH,KHO TT,Bartack,Sewing machine,,,,,,,,MACHEQUIP,11/30/2008," $2,026 ", $-   ,Mechanic,Máy may,,MEC-193 13,Kingtex,246181,7080011,GLK 1900,DAY GIUA CUA E1 VA F1,,??t,H??ng,,Match,,,,
#N/A,HYS,24,3844-7254321,302323,Kingtex bar tacking   7080003,1,1,246182,246182,246182,7080003,GLK 1900,GLK-1900,HYS,WH,KHO TT,Bartack,Sewing machine,,,,,,,,MACHEQUIP,11/30/2008," $2,026 ", $-   ,Mechanic,Máy may,,MEC-195 1,Kingtex,246182,7080003,GLK 1900,DAY GIUA CUA E1 VA F1,,??t,H??ng,,Match,,,,
